iter	Passed	Remaining
545	50284	41811
546	50370	41714
547	50459	41620
548	50549	41526
549	50639	41432
550	50725	41335
551	50813	41239
552	50901	41144
553	50986	41047
554	51073	40951
555	51195	40882
556	51291	40793
557	51383	40701
558	51466	40602
559	51555	40507
560	51644	40413
561	51729	40315
562	51816	40219
563	51906	40126
564	51993	40030
565	52078	39932
566	52172	39842
567	52268	39753
568	52353	39655
569	52443	39562
570	52530	39467
571	52621	39374
572	52712	39281
573	52799	39185
574	52888	39091
575	52980	38999
576	53076	38910
577	53160	38812
578	53248	38717
579	53360	38640
580	53451	38547
581	53540	38453
582	53631	38360
583	53717	38264
584	53808	38172
585	53902	38081
586	53990	37986
587	54073	37888
588	54162	37794
589	54249	37698
590	54334	37601
591	54425	37509
592	54511	37413
593	54602	37321
594	54699	37232
595	54796	37144
596	54881	37047
597	54971	36954
598	55056	36857
599	55148	36765
600	55237	36671
601	55336	36584
602	55426	36491
603	55514	36396
604	55603	36302
605	55691	36208
606	55776	36112
607	55868	36020
608	55959	35928
609	56049	35835
610	56141	35743
611	56230	35649
612	56318	35555
613	56406	35460
614	56494	35366
615	56580	35270
616	56688	35188
617	56773	35093
618	56858	34997
619	56948	34904
620	57039	34811
621	57129	34718
622	57218	34625
623	57308	34532
624	57405	34443
625	57493	34349
626	57587	34258
627	57673	34163
628	57768	34073
629	57853	33977
630	57942	33883
631	58027	33787
632	58112	33692
633	58202	33599
634	58292	33506
635	58381	33413
636	58472	33320
637	58559	33226
638	58651	33134
639	58741	33041
640	58826	32946
641	58912	32851
642	58999	32757
643	59090	32664
644	59181	32572
645	59269	32478
646	59356	32384
647	59442	32289
648	59526	32193
649	59611	32098
650	59729	32020
651	59826	31932
652	59918	31840
653	60003	31744
654	60092	31651
655	60177	31556
656	60259	31459
657	60339	31362
658	60429	31269
659	60527	31180
660	60622	31090
661	60711	30997
662	60799	30904
663	60889	30811
664	60977	30717
665	61062	30623
666	61159	30533
667	61242	30438
668	61331	30344
669	61420	30251
670	61510	30159
671	61603	30068
672	61699	29978
673	61804	29893
674	61887	29797
675	61970	29702
676	62064	29611
677	62165	29523
678	62277	29441
679	62392	29361
680	62520	29286
681	62605	29191
682	62692	29097
683	62781	29004
684	62870	28911
685	62949	28813
686	63045	28723
687	63135	28631
688	63229	28540
689	63311	28444
690	63405	28353
691	63493	28260
692	63589	28170
693	63675	28075
694	63766	27984
695	63863	27894
696	63967	27808
697	64062	27717
698	64161	27629
699	64255	27538
700	64348	27446
701	64442	27355
702	64532	27263
703	64623	27171
704	64716	27080
705	64801	26985
706	64893	26893
707	64982	26800
708	65073	26708
709	65166	26617
710	65257	26525
711	65373	26443
712	65462	26350
713	65545	26254
714	65642	26165
715	65753	26080
716	65860	25995
717	65962	25907
718	66061	25818
719	66165	25731
720	66274	25645
721	66373	25556
722	66464	25464
723	66549	25369
724	66640	25277
725	66726	25183
726	66820	25092
727	66909	24999
728	66993	24904
729	67103	24818
730	67193	24726
731	67281	24633
732	67368	24539
733	67464	24448
734	67552	24355
735	67637	24261
736	67726	24168
737	67815	24075
738	67902	23981
739	67993	23889
740	68075	23794
741	68165	23701
742	68258	23610
743	68344	23516
744	68436	23424
745	68528	23332
746	68612	23238
747	68710	23148
748	68803	23056
749	68893	22964
750	68979	22870
751	69065	22776
752	69162	22686
753	69251	22593
754	69338	22500
755	69425	22407
756	69507	22312
757	69596	22219
758	69682	22125
759	69769	22032
760	69850	21937
761	69942	21845
762	70048	21758
763	70141	21666
764	70233	21574
765	70315	21480
766	70404	21387
767	70496	21295
768	70593	21205
769	70676	21111
770	70765	21018
771	70849	20924
772	70937	20831
773	71022	20737
774	71106	20643
775	71186	20548
776	71271	20454
777	71352	20360
778	71439	20267
779	71531	20175
780	71628	20085
781	71715	19992
782	71807	19900
783	71898	19808
784	71988	19716
785	72070	19622
786	72156	19529
787	72245	19436
788	72336	19344
789	72421	19251
790	72510	19158
791	72600	19066
792	72691	18974
793	72779	18882
794	72866	18789
795	72957	18697
796	73041	18604
797	73132	18512
798	73215	18418
799	73304	18326
800	73388	18232
801	73472	18139
802	73562	18047
803	73649	17954
